Rank,TorqStop P/N,FMSI No.,DESCRIPTION,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,GAWR (LBS),New or Relined,Hardware Included,Description,Brake Type,Coating,Friction Code,Drum Diameter,Shoe Width,# of Webs,Image 1 (Line Drawings),Image 2 (Hardware),Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items Per case,Minimum Order QTY,Items Per Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
23,23K4692QU,4692QU,Dana Spicer FC with Spring Notch (Open / Open),Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,24 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,12.25,7.5,2,23K4692QU.jpg,4692QU HDW.jpg,Active,691303101787,0691303101787,10691303101784,26.68,17.87,10.47,8.58,1,1,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
4,23K4702Q,4702Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,5 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,2,23K4702Q.jpg,4702Q HDW.jpg,Active,691303101596,0691303101596,10691303101593,25.93,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
21,23K4703Q,4703Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,22 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,5,2,23K4703Q.jpg,4703Q HDW.jpg,Active,691303101763,0691303101763,10691303101760,29.06,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
1,23K4707Q,4707Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,2 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4707Q.jpg,4707Q HDW.jpg,Active,691303101565,0691303101565,10691303101562,39.02,17.87,10.47,7.68,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
11,23K4709E,4709E,Eaton ES 1st Generation,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,12 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4709E.jpg,4709E HDW.jpg,Active,691303101664,0691303101664,10691303101661,39.68,17.87,10.47,7.68,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
3,23K4709E2,4709ES2,Eaton ESII 2nd Generation,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,4 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4709ES2.jpg,4709ES2 HDW.jpg,Active,691303101589,0691303101589,10691303101586,38.58,17.87,10.47,9.25,1,1,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
16,23K4710Q,4710Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,17 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,8.625,2,23K4710Q.jpg,4710Q HDW.jpg,Active,691303101718,0691303101718,10691303101715,43.87,17.87,10.47,9.25,1,1,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
9,23K4711Q,4711Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,10 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8.625,2,23K4711Q.jpg,4711Q HDW.jpg,Active,691303101640,0691303101640,10691303101647,35.94,17.87,10.47,6.57,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
13,23K4715Q,4715Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,14 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,23K4715Q.jpg,4715Q HDW.jpg,Active,691303101688,0691303101688,10691303101685,41.62,17.87,10.47,8.58,1,1,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
5,23K4718Q,4718Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,6 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8,2,23K4718Q.jpg,4718Q HDW.jpg,Active,691303101602,0691303101602,10691303101609,33.07,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
15,23K4719E2,4719ES2,Eaton ESII 2nd Generation,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,16 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,23K4719E2.jpg,4719ES2 HDW.jpg,Active,691303101701,0691303101701,10691303101708,33.07,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
14,23K4720Q,4720Q,"Meritor ""Q: Plus",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,15 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,23K4720Q.jpg,4720Q HDW.jpg,Active,691303101695,0691303101695,10691303101692,32.63,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
17,23K4725ES2,4725ES2,Eaton ESII 2nd Generation,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,18 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,23K4725ES2.jpg,4725ES2 HDW.jpg,Active,691303101725,0691303101725,10691303101722,37.04,17.87,10.47,6.57,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
10,23K4726ES2,4726ES2,Eaton ESII 2nd Generation,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,11 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8.625,2,23K4726ES2.jpg,4726ES2 HDW.jpg,Active,691303101657,0691303101657,10691303101654,46.30,17.87,10.47,9.25,1,1,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
