Order,TorqStop P/N,Vendor P/N,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,Make,Caliper Model, X REF NO.,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
22,CAM001L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L202R,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102074,691303102074,10691303102071,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
21,CAM001R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L201R,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102067,691303102067,10691303102064,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
24,CAM002L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L258,Trailer,Trailer,D1370,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102098,691303102098,10691303102095,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
23,CAM002R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L257,Trailer,Trailer,D1370,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102081,691303102081,10691303102088,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
26,CAM003L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H202,Truck / Coach / Vocational,"KW, Pete, Mack, Volvo, Navistar, Transit ",D1311,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102111,691303102111,10691303102118,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
25,CAM003R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H201,Truck / Coach / Vocational,"KW, Pete, Mack, Volvo, Navistar, Transit ",D1311,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102104,691303102104,10691303102101,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
28,CAM004L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H3,EX225H302,Truck / Coach / Vocational,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1323,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,CAM004L_01_FRO.jpg,CAM004L_02_TOP.jpg,CAM004L_03_BAC.jpg,CAM004L_04_ANG.jpg,CAM004L_05_BOT.jpg,CAM004L_06_PAC.jpg,In Development,691303102135,691303102135,10691303102132,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
27,CAM004R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H3,EX225H301,Truck / Coach / Vocational,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1323,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,CAM004R_01_FRO.jpg,CAM004R_02_TOP.jpg,CAM004R_03_BAC.jpg,CAM004R_04_ANG.jpg,CAM004R_05_BOT.jpg,CAM004R_06_PAC.jpg,In Development,691303102128,691303102128,10691303102125,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
40,CAM005L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H217 / EX225H227,Truck / Vocational,"Mack, Volvo",D1311,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102258,691303102258,10691303102255,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
39,CAM005R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H218 / EX225H228,Truck / Vocational,"Mack, Volvo",D1311,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102241,691303102241,10691303102248,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
