LINE,TorqStop P/N,Description,Price,Year,Make,Caliper Model,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,IMAGE 1 #,IMAGE 2 #,IMAGE 3 #,Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
41,CAM006R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,ELSA 225-3,Truck / Vocational,Mack,D1708,,Axial,Right,Two Tappets,Flat Plate with Bolt,8,"2-M16*1.5
6-M20*2",305/244.5/350/369,Black,Powder Coat,Yes,No,,,,Active,691303102265,98,18.9,14.76,11.81,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
42,CAM006L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,ELSA 225-3,Truck / Vocational,Mack,D1708,,Axial,Left,Two Tappets,Flat Plate with Bolt,8,"2-M16*1.5
6-M20*2",305/244.5/350/369,Black,Powder Coat,Yes,No,,,,Active,691303102272,98,18.9,14.76,11.81,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
43,CRM004R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,ELSA 225-3,Truck / Vocational,Mack,D1708,,Radial,Right,Two Tappets,Flat Plate with Bolt,8,"2-M16*1.5
6-M20*2",305/244.5/350/369,Black,Powder Coat,Yes,No,,,,Active,691303102289,103,18.9,18.9,9.45,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
44,CRM004L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,ELSA 225-3,Truck / Vocational,Mack,D1708,,Radial,Left,Two Tappets,Flat Plate with Bolt,8,"2-M16*1.5
6-M20*2",305/244.5/350/369,Black,Powder Coat,Yes,No,,,,Active,691303102296,103,18.9,18.9,9.45,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
25,CAM003R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Coach / Vocational,"KW, Pete, Mack, Volvo, Navistar, Transit ",D1311,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102104,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
26,CAM003L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Coach / Vocational,"KW, Pete, Mack, Volvo, Navistar, Transit ",D1311,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102111,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
27,CAM004R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H3,Truck / Coach / Vocational,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1323,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102128,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
28,CAM004L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H3,Truck / Coach / Vocational,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1323,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102135,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
21,CAM001R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102067,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
22,CAM001L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102074,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
17,CAW003R,New Air Disc Brake caliper assembly with carrier,0,2022,Wabco,Maxx 22T,Trailer,Hendrickson Axles,D1777.2,,Axial,Right,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102029,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
18,CAW003L,New Air Disc Brake caliper assembly with carrier,0,2022,Wabco,Maxx 22T,Trailer,Hendrickson Axles,D1777.2,,Axial,Left,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102036,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
19,CRW001R,New Air Disc Brake caliper assembly with carrier,0,2022,Wabco,Maxxus 22,Truck,Freightliner® Western Star®,D2061,,Radial,Right,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102043,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
20,CRW001L,New Air Disc Brake caliper assembly with carrier,0,2022,Wabco,Maxxus 22,Truck,Freightliner® Western Star®,D2061,,Radial,Left,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102050,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
